NETWORK_STRUCTURE,POPULATION_SIZE,MAX_GENERATIONS,REPLICATION_RATE,MUTATION_RATE,LEARNING_RATE,TOURNAMENT_SIZE,BEST_SCORE
16 8 4 1,200,150,0.2,0.4,0.08,75,0.9280555555555555
16 8 4 1,200,150,0.2,0.3,0.08,75,0.9204861111111111
16 8 4 1,200,150,0.2,0.2,0.08,75,0.9345138888888889
16 8 4 1,200,150,0.2,0.1,0.08,75,0.9226388888888889
16 8 4 1,200,150,0.2,0.05,0.08,75,0.931875
16 8 4 1,200,150,0.2,0.01,0.08,75,0.8685416666666667
16 8 4 1,150,150,0.2,0.4,0.08,75,0.9148611111111111
16 8 4 1,150,150,0.2,0.3,0.08,75,0.9080555555555555
16 8 4 1,150,150,0.2,0.2,0.08,75,0.9438888888888889
16 8 4 1,150,150,0.2,0.1,0.08,75,0.8627777777777778
16 8 4 1,150,150,0.2,0.05,0.08,75,0.8929861111111111
16 8 4 1,150,150,0.2,0.01,0.08,75,0.8975694444444444
16 8 4 1,100,150,0.2,0.4,0.08,75,0.9145138888888888
16 8 4 1,100,150,0.2,0.3,0.08,75,0.9130555555555555
16 8 4 1,100,150,0.2,0.2,0.08,75,0.8744444444444445
16 8 4 1,100,150,0.2,0.1,0.08,75,0.8868055555555555
16 8 4 1,100,150,0.2,0.05,0.08,75,0.91625
16 8 4 1,100,150,0.2,0.01,0.08,75,0.8218055555555556
16 8 4 1,80,150,0.2,0.4,0.08,75,0.9008333333333334
16 8 4 1,80,150,0.2,0.3,0.08,75,0.9108333333333334
16 8 4 1,80,150,0.2,0.2,0.08,75,0.9179861111111111
16 8 4 1,80,150,0.2,0.1,0.08,75,0.9232638888888889
16 8 4 1,80,150,0.2,0.05,0.08,75,0.9092361111111111
16 8 4 1,80,150,0.2,0.01,0.08,75,0.7678472222222222
16 8 4 1,70,150,0.2,0.4,0.08,75,0.9265972222222222
16 8 4 1,70,150,0.2,0.3,0.08,75,0.92375
16 8 4 1,70,150,0.2,0.2,0.08,75,0.8986805555555556
16 8 4 1,70,150,0.2,0.1,0.08,75,0.89125
16 8 4 1,70,150,0.2,0.05,0.08,75,0.8770833333333333
16 8 4 1,70,150,0.2,0.01,0.08,75,0.8124305555555555
16 8 4 1,50,150,0.2,0.4,0.08,75,0.9363888888888889
16 8 4 1,50,150,0.2,0.3,0.08,75,0.9054861111111111
16 8 4 1,50,150,0.2,0.2,0.08,75,0.8992361111111111
16 8 4 1,50,150,0.2,0.1,0.08,75,0.8920833333333333
16 8 4 1,50,150,0.2,0.05,0.08,75,0.846875
16 8 4 1,50,150,0.2,0.01,0.08,75,0.8589583333333334
