NETWORK_STRUCTURE,POPULATION_SIZE,MAX_GENERATIONS,REPLICATION_RATE,MUTATION_RATE,LEARNING_RATE,TOURNAMENT_SIZE,BEST_SCORE
16 32 16 1,100,50,0.1,0.5,0.08,60,0.8474305555555556
16 32 16 1,100,50,0.1,0.6,0.08,60,0.8729166666666667
16 32 16 1,100,50,0.1,0.7,0.08,60,0.855625
16 32 16 1,100,50,0.1,0.8,0.08,60,0.8634027777777777
16 32 16 1,100,50,0.1,0.9,0.08,60,0.8386805555555555
16 64 32 1,100,50,0.1,0.5,0.08,60,0.8304166666666667
16 64 32 1,100,50,0.1,0.6,0.08,60,0.8426388888888889
16 64 32 1,100,50,0.1,0.7,0.08,60,0.8542361111111111
16 64 32 1,100,50,0.1,0.8,0.08,60,0.8759027777777778
16 64 32 1,100,50,0.1,0.9,0.08,60,0.8585416666666666
16 64 16 1,100,50,0.1,0.5,0.08,60,0.8402777777777778
16 64 16 1,100,50,0.1,0.6,0.08,60,0.8621527777777778
16 64 16 1,100,50,0.1,0.7,0.08,60,0.8388888888888889
16 64 16 1,100,50,0.1,0.8,0.08,60,0.8533333333333334
16 64 16 1,100,50,0.1,0.9,0.08,60,0.8525694444444445
16 16 32 1,100,50,0.1,0.5,0.08,60,0.8432638888888889
16 16 32 1,100,50,0.1,0.6,0.08,60,0.8402777777777778
16 16 32 1,100,50,0.1,0.7,0.08,60,0.8584027777777777
16 16 32 1,100,50,0.1,0.8,0.08,60,0.8456944444444444
16 16 32 1,100,50,0.1,0.9,0.08,60,0.8401388888888889
16 32 64 32 1,100,50,0.1,0.5,0.08,60,0.8411111111111111
16 32 64 32 1,100,50,0.1,0.6,0.08,60,0.8495138888888889
16 32 64 32 1,100,50,0.1,0.7,0.08,60,0.8627777777777778
16 32 64 32 1,100,50,0.1,0.8,0.08,60,0.8417361111111111
16 32 64 32 1,100,50,0.1,0.9,0.08,60,0.8284027777777778
16 32 16 64 1,100,50,0.1,0.5,0.08,60,0.8369444444444445
16 32 16 64 1,100,50,0.1,0.6,0.08,60,0.8567361111111111
16 32 16 64 1,100,50,0.1,0.7,0.08,60,0.8351388888888889
16 32 16 64 1,100,50,0.1,0.8,0.08,60,0.815
16 32 16 64 1,100,50,0.1,0.9,0.08,60,0.8338888888888889
